subjects  activity_labels  activity_name  average
1  1  WALKING  -0.193204572492262
1  2  WALKING_UPSTAIRS  -0.315336808393305
1  3  WALKING_DOWNSTAIRS  -0.149358035365099
1  4  SITTING  -0.725010256710861
1  5  STANDING  -0.751886863913404
1  6  LAYING  -0.681581978523054
2  1  WALKING  -0.32544820638322
2  2  WALKING_UPSTAIRS  -0.27094863788048
2  3  WALKING_DOWNSTAIRS  -0.106411521321941
2  4  SITTING  -0.737361985616243
2  5  STANDING  -0.739970261016945
2  6  LAYING  -0.743126753233842
3  1  WALKING  -0.317947801074047
3  2  WALKING_UPSTAIRS  -0.358357567758965
3  3  WALKING_DOWNSTAIRS  -0.232708366871836
3  4  SITTING  -0.707845449974583
3  5  STANDING  -0.712068206745217
3  6  LAYING  -0.734347688677236
4  1  WALKING  -0.392128132692634
4  2  WALKING_UPSTAIRS  -0.341355950186464
4  3  WALKING_DOWNSTAIRS  -0.281840698460603
4  4  SITTING  -0.717843420704141
4  5  STANDING  -0.705320467661402
4  6  LAYING  -0.728668034663377
5  1  WALKING  -0.290846535887125
5  2  WALKING_UPSTAIRS  -0.244346694233246
5  3  WALKING_DOWNSTAIRS  -0.149721994636294
5  4  SITTING  -0.71816250875378
5  5  STANDING  -0.698248943096751
5  6  LAYING  -0.739085358855865
6  1  WALKING  -0.231135633132547
6  2  WALKING_UPSTAIRS  -0.189984813956898
6  3  WALKING_DOWNSTAIRS  -0.000804104618582071
6  4  SITTING  -0.7166252231237
6  5  STANDING  -0.723169679977658
6  6  LAYING  -0.714481502407656
7  1  WALKING  -0.184567020446338
7  2  WALKING_UPSTAIRS  -0.362851021783283
7  3  WALKING_DOWNSTAIRS  -0.164658253921528
7  4  SITTING  -0.712354376735631
7  5  STANDING  -0.725824852727622
7  6  LAYING  -0.723857064735047
8  1  WALKING  -0.16056841343373
8  2  WALKING_UPSTAIRS  -0.146879782054871
8  3  WALKING_DOWNSTAIRS  -0.00103612319688198
8  4  SITTING  -0.72745694109493
8  5  STANDING  -0.735324128855415
8  6  LAYING  -0.722406520353446
9  1  WALKING  -0.286806225658878
9  2  WALKING_UPSTAIRS  -0.352322249173958
9  3  WALKING_DOWNSTAIRS  -0.162548480947928
9  4  SITTING  -0.704523755500333
9  5  STANDING  -0.719415113824515
9  6  LAYING  -0.726146510489097
10  1  WALKING  -0.207316119201447
10  2  WALKING_UPSTAIRS  -0.214657479004489
10  3  WALKING_DOWNSTAIRS  -0.108732322835411
10  4  SITTING  -0.73712845579557
10  5  STANDING  -0.721542732014904
10  6  LAYING  -0.751454042087244
11  1  WALKING  -0.379016958409591
11  2  WALKING_UPSTAIRS  -0.370962843516591
11  3  WALKING_DOWNSTAIRS  -0.220718087092131
11  4  SITTING  -0.730213416461106
11  5  STANDING  -0.747503181881309
11  6  LAYING  -0.739250481303299
12  1  WALKING  -0.256034499452433
12  2  WALKING_UPSTAIRS  -0.354006222470134
12  3  WALKING_DOWNSTAIRS  -0.179277771565335
12  4  SITTING  -0.727919507003818
12  5  STANDING  -0.719351505561252
12  6  LAYING  -0.72760644728624
13  1  WALKING  -0.210988794167055
13  2  WALKING_UPSTAIRS  -0.330641118753785
13  3  WALKING_DOWNSTAIRS  -0.170802030677804
13  4  SITTING  -0.735239423441511
13  5  STANDING  -0.742391626905495
13  6  LAYING  -0.731168410513377
14  1  WALKING  -0.288349500486322
14  2  WALKING_UPSTAIRS  -0.111119139268373
14  3  WALKING_DOWNSTAIRS  0.00341910027488552
14  4  SITTING  -0.730278809106672
14  5  STANDING  -0.733750919831609
14  6  LAYING  -0.706780359580511
15  1  WALKING  -0.306114313281622
15  2  WALKING_UPSTAIRS  -0.294341669544798
15  3  WALKING_DOWNSTAIRS  -0.114055542511411
15  4  SITTING  -0.733838697315558
15  5  STANDING  -0.733951795404
15  6  LAYING  -0.732694054370465
16  1  WALKING  -0.383138718688577
16  2  WALKING_UPSTAIRS  -0.382992324573922
16  3  WALKING_DOWNSTAIRS  -0.21577265313244
16  4  SITTING  -0.734763414612203
16  5  STANDING  -0.744597444550344
16  6  LAYING  -0.743287358888657
17  1  WALKING  -0.309280113929322
17  2  WALKING_UPSTAIRS  -0.302507349895375
17  3  WALKING_DOWNSTAIRS  -0.233445826587078
17  4  SITTING  -0.747004627057666
17  5  STANDING  -0.753476669240357
17  6  LAYING  -0.731324690617382
18  1  WALKING  -0.394478845416299
18  2  WALKING_UPSTAIRS  -0.42646923228292
18  3  WALKING_DOWNSTAIRS  -0.377526737575512
18  4  SITTING  -0.743850843467203
18  5  STANDING  -0.744424330919073
18  6  LAYING  -0.746133039821382
19  1  WALKING  -0.0739875703910806
19  2  WALKING_UPSTAIRS  -0.196891295749223
19  3  WALKING_DOWNSTAIRS  0.154941520892261
19  4  SITTING  -0.728175891288928
19  5  STANDING  -0.73554803643265
19  6  LAYING  -0.742143249540819
20  1  WALKING  -0.0954032717082775
20  2  WALKING_UPSTAIRS  -0.205762872215166
20  3  WALKING_DOWNSTAIRS  -0.0458055951405788
20  4  SITTING  -0.726102407642704
20  5  STANDING  -0.703585407231564
20  6  LAYING  -0.737847526254903
21  1  WALKING  -0.239612750488894
21  2  WALKING_UPSTAIRS  -0.298692900152311
21  3  WALKING_DOWNSTAIRS  -0.139645365609202
21  4  SITTING  -0.743125990670937
21  5  STANDING  -0.740332493442983
21  6  LAYING  -0.729316795500066
22  1  WALKING  -0.161843378710114
22  2  WALKING_UPSTAIRS  -0.191712185339628
22  3  WALKING_DOWNSTAIRS  -0.147381918801591
22  4  SITTING  -0.720164924412542
22  5  STANDING  -0.726785296080127
22  6  LAYING  -0.718920180798411
23  1  WALKING  -0.0969339947223061
23  2  WALKING_UPSTAIRS  -0.25943590535943
23  3  WALKING_DOWNSTAIRS  -0.00547247287462682
23  4  SITTING  -0.726113491116866
23  5  STANDING  -0.735074230891955
23  6  LAYING  -0.738453366680006
24  1  WALKING  -0.356957437224817
24  2  WALKING_UPSTAIRS  -0.362618588027219
24  3  WALKING_DOWNSTAIRS  -0.241425533951455
24  4  SITTING  -0.737144249115584
24  5  STANDING  -0.734420049761198
24  6  LAYING  -0.738162801094621
25  1  WALKING  -0.42015627084922
25  2  WALKING_UPSTAIRS  -0.435418743421543
25  3  WALKING_DOWNSTAIRS  -0.345951992614543
25  4  SITTING  -0.737614646951336
25  5  STANDING  -0.739256665905592
25  6  LAYING  -0.6550466559966
26  1  WALKING  -0.318740418835688
26  2  WALKING_UPSTAIRS  -0.330337988544182
26  3  WALKING_DOWNSTAIRS  -0.175493103647397
26  4  SITTING  -0.732209186814351
26  5  STANDING  -0.740410224586124
26  6  LAYING  -0.744683873718817
27  1  WALKING  -0.315300610673124
27  2  WALKING_UPSTAIRS  -0.368009684288904
27  3  WALKING_DOWNSTAIRS  -0.180615867943192
27  4  SITTING  -0.738607565821911
27  5  STANDING  -0.743828559458429
27  6  LAYING  -0.747039773104429
28  1  WALKING  -0.313871992811888
28  2  WALKING_UPSTAIRS  -0.323401541369843
28  3  WALKING_DOWNSTAIRS  -0.139396563077246
28  4  SITTING  -0.731041115599865
28  5  STANDING  -0.712417065277087
28  6  LAYING  -0.749711337306598
29  1  WALKING  -0.256846692509308
29  2  WALKING_UPSTAIRS  -0.231956730511577
29  3  WALKING_DOWNSTAIRS  -0.178812689061223
29  4  SITTING  -0.739022156685121
29  5  STANDING  -0.746979641390065
29  6  LAYING  -0.747047283845479
30  1  WALKING  -0.267020565167016
30  2  WALKING_UPSTAIRS  -0.33891298828135
30  3  WALKING_DOWNSTAIRS  -0.217523391374438
30  4  SITTING  -0.732058477455571
30  5  STANDING  -0.714291901922109
30  6  LAYING  -0.73371945664569
